exact_calls=112 false_false=14 false_true=2 true_false=34 true_true=62 completion_checks_removed=16 call_safepoints_removed=48
call caller=46 caller_name="ht_rehash" callee=20 callee_name="ht_fill_empty" may_error=true may_gc=true
call caller=46 caller_name="ht_rehash" callee=45 callee_name="ht_rehash_scan" may_error=true may_gc=true
call caller=47 caller_name="ht_should_grow" callee=31 callee_name="ht_size" may_error=true may_gc=false
call caller=47 caller_name="ht_should_grow" callee=33 callee_name="ht_tombstones" may_error=true may_gc=false
call caller=47 caller_name="ht_should_grow" callee=34 callee_name="ht_capacity" may_error=true may_gc=false
call caller=48 caller_name="ht_grow_or_clean" callee=33 callee_name="ht_tombstones" may_error=true may_gc=false
call caller=48 caller_name="ht_grow_or_clean" callee=31 callee_name="ht_size" may_error=true may_gc=false
call caller=48 caller_name="ht_grow_or_clean" callee=34 callee_name="ht_capacity" may_error=true may_gc=false
call caller=48 caller_name="ht_grow_or_clean" callee=46 callee_name="ht_rehash" may_error=true may_gc=true
call caller=48 caller_name="ht_grow_or_clean" callee=34 callee_name="ht_capacity" may_error=true may_gc=false
call caller=48 caller_name="ht_grow_or_clean" callee=46 callee_name="ht_rehash" may_error=true may_gc=true
call caller=49 caller_name="ht_place" callee=25 callee_name="ht_controls" may_error=true may_gc=false
call caller=49 caller_name="ht_place" callee=18 callee_name="ht_occupied_state" may_error=false may_gc=false
call caller=49 caller_name="ht_place" callee=27 callee_name="ht_keys" may_error=true may_gc=false
call caller=49 caller_name="ht_place" callee=29 callee_name="ht_values" may_error=true may_gc=false
call caller=49 caller_name="ht_place" callee=31 callee_name="ht_size" may_error=true may_gc=false
call caller=49 caller_name="ht_place" callee=19 callee_name="ht_tombstone_state" may_error=false may_gc=false
call caller=49 caller_name="ht_place" callee=33 callee_name="ht_tombstones" may_error=true may_gc=false
call caller=50 caller_name="ht_set" callee=36 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=50 caller_name="ht_set" callee=41 callee_name="ht_find_insert" may_error=true may_gc=true
call caller=50 caller_name="ht_set" callee=25 callee_name="ht_controls" may_error=true may_gc=false
call caller=50 caller_name="ht_set" callee=18 callee_name="ht_occupied_state" may_error=false may_gc=false
call caller=50 caller_name="ht_set" callee=29 callee_name="ht_values" may_error=true may_gc=false
call caller=50 caller_name="ht_set" callee=47 callee_name="ht_should_grow" may_error=true may_gc=true
call caller=50 caller_name="ht_set" callee=48 callee_name="ht_grow_or_clean" may_error=true may_gc=true
call caller=50 caller_name="ht_set" callee=36 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=50 caller_name="ht_set" callee=41 callee_name="ht_find_insert" may_error=true may_gc=true
call caller=50 caller_name="ht_set" callee=49 callee_name="ht_place" may_error=true may_gc=true
call caller=50 caller_name="ht_set" callee=49 callee_name="ht_place" may_error=true may_gc=true
call caller=51 caller_name="row_new" callee=24 callee_name="ht_new_sized" may_error=true may_gc=true
call caller=51 caller_name="row_new" callee=22 callee_name="ht_new" may_error=true may_gc=true
call caller=52 caller_name="row_fill" callee=50 callee_name="ht_set" may_error=true may_gc=true
call caller=53 caller_name="row_table" callee=51 callee_name="row_new" may_error=true may_gc=true
call caller=53 caller_name="row_table" callee=52 callee_name="row_fill" may_error=true may_gc=true
call caller=54 caller_name="build_rows" callee=7 callee_name="geo_finish" may_error=true may_gc=true
call caller=54 caller_name="build_rows" callee=53 callee_name="row_table" may_error=true may_gc=true
call caller=54 caller_name="build_rows" callee=6 callee_name="geo_append" may_error=true may_gc=true
call caller=55 caller_name="csv_records_generic" callee=15 callee_name="csv_parse" may_error=true may_gc=true
call caller=55 caller_name="csv_records_generic" callee=1 callee_name="geo_new" may_error=true may_gc=true
