exact_calls=98 false_false=0 false_true=2 true_false=34 true_true=62 completion_checks_removed=2 call_safepoints_removed=34
call caller=46 caller_name="ht_set" callee=43 callee_name="ht_should_grow" may_error=true may_gc=true
call caller=46 caller_name="ht_set" callee=44 callee_name="ht_grow_or_clean" may_error=true may_gc=true
call caller=46 caller_name="ht_set" callee=32 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=46 caller_name="ht_set" callee=37 callee_name="ht_find_insert" may_error=true may_gc=true
call caller=46 caller_name="ht_set" callee=45 callee_name="ht_place" may_error=true may_gc=true
call caller=46 caller_name="ht_set" callee=45 callee_name="ht_place" may_error=true may_gc=true
call caller=47 caller_name="row_new" callee=20 callee_name="ht_new_sized" may_error=true may_gc=true
call caller=47 caller_name="row_new" callee=18 callee_name="ht_new" may_error=true may_gc=true
call caller=48 caller_name="row_fill" callee=46 callee_name="ht_set" may_error=true may_gc=true
call caller=49 caller_name="row_table" callee=47 callee_name="row_new" may_error=true may_gc=true
call caller=49 caller_name="row_table" callee=48 callee_name="row_fill" may_error=true may_gc=true
call caller=50 caller_name="build_rows" callee=7 callee_name="geo_finish" may_error=true may_gc=true
call caller=50 caller_name="build_rows" callee=49 callee_name="row_table" may_error=true may_gc=true
call caller=50 caller_name="build_rows" callee=6 callee_name="geo_append" may_error=true may_gc=true
call caller=51 caller_name="csv_records_generic" callee=15 callee_name="csv_parse" may_error=true may_gc=true
call caller=51 caller_name="csv_records_generic" callee=1 callee_name="geo_new" may_error=true may_gc=true
call caller=51 caller_name="csv_records_generic" callee=50 callee_name="build_rows" may_error=true may_gc=true
call caller=52 caller_name="csv_records" callee=51 callee_name="csv_records_generic" may_error=true may_gc=true
call caller=53 caller_name="csv_records_presized" callee=51 callee_name="csv_records_generic" may_error=true may_gc=true
call caller=54 caller_name="sample" callee=52 callee_name="csv_records" may_error=true may_gc=true
call caller=54 caller_name="sample" callee=53 callee_name="csv_records_presized" may_error=true may_gc=true
call caller=54 caller_name="sample" callee=38 callee_name="ht_get" may_error=true may_gc=true
call caller=54 caller_name="sample" callee=38 callee_name="ht_get" may_error=true may_gc=true
call caller=54 caller_name="sample" callee=28 callee_name="ht_size" may_error=true may_gc=false
call caller=54 caller_name="sample" callee=28 callee_name="ht_size" may_error=true may_gc=false
call caller=54 caller_name="sample" callee=38 callee_name="ht_get" may_error=true may_gc=true
call caller=54 caller_name="sample" callee=38 callee_name="ht_get" may_error=true may_gc=true
call caller=54 caller_name="sample" callee=38 callee_name="ht_get" may_error=true may_gc=true
call caller=54 caller_name="sample" callee=38 callee_name="ht_get" may_error=true may_gc=true
call caller=54 caller_name="sample" callee=38 callee_name="ht_get" may_error=true may_gc=true
